model,model_level,lambda_orthogonal,driver_ref,driverId,old_constructor_ref,new_constructor_ref,old_season,new_season,round,raceId,actual,pred_new,pred_old,delta,old_tier,new_tier,tier_dir
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,2,480,16.0,3.923686981201172,3.923686981201172,0.0,B,S,2.0
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,3,481,7.0,2.0280826091766357,2.20727801322937,-0.17919540405273438,S,S,0.0
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,3,481,12.0,5.485041618347168,5.124230861663818,0.3608107566833496,B,S,2.0
model_no_orthogonal,zero,0.0,sainz,831,ferrari,williams,2024,2025,3,481,14.0,4.721905708312988,3.9453227519989014,0.7765829563140869,S,B,-2.0
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,3,481,16.0,6.244561195373535,6.636540412902832,-0.3919792175292969,B,B,0.0
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,3,481,18.0,6.698533535003662,7.565178871154785,-0.866645336151123,A,B,-1.0
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,4,482,5.0,2.234590768814087,2.414008140563965,-0.17941737174987793,S,S,0.0
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,4,482,8.0,5.871612548828125,6.73825740814209,-0.8666448593139648,A,B,-1.0
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,4,482,9.0,4.524930000305176,4.130417346954346,0.3945126533508301,B,S,2.0
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,5,483,7.0,1.828628420829773,2.0010430812835693,-0.1724146604537964,S,S,0.0
model_no_orthogonal,zero,0.0,sainz,831,ferrari,williams,2024,2025,5,483,8.0,3.365840435028076,2.595755100250244,0.770085334777832,S,B,-2.0
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,5,483,14.0,6.905264377593994,7.771908760070801,-0.8666443824768066,A,B,-1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,5,483,15.0,6.658021926879883,7.05000114440918,-0.3919792175292969,B,B,0.0
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,6,484,8.0,2.854114294052124,3.0341992378234863,-0.1800849437713623,S,S,0.0
model_no_orthogonal,zero,0.0,sainz,831,ferrari,williams,2024,2025,6,484,9.0,3.365840435028076,2.595755100250244,0.770085334777832,S,B,-2.0
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,6,484,10.0,4.524930000305176,4.130417346954346,0.3945126533508301,B,S,2.0
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,6,484,12.0,4.873807430267334,5.647345542907715,-0.7735381126403809,A,B,-1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,6,484,14.0,6.244561195373535,6.636540412902832,-0.3919792175292969,B,B,0.0
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,7,485,4.0,2.854114294052124,3.0341992378234863,-0.1800849437713623,S,S,0.0
model_no_orthogonal,zero,0.0,sainz,831,ferrari,williams,2024,2025,7,485,8.0,3.365840435028076,2.595755100250244,0.770085334777832,S,B,-2.0
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,7,485,10.0,6.557366371154785,6.197719573974609,0.3596467971801758,B,S,2.0
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,7,485,12.0,6.451292037963867,6.843271255493164,-0.3919792175292969,B,B,0.0
model_no_orthogonal,zero,0.0,colapinto,860,williams,alpine,2024,2025,7,485,16.0,6.7335052490234375,5.285392761230469,1.4481124877929688,B,A,1.0
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,8,486,5.0,1.363359808921814,1.5248585939407349,-0.1614987850189209,S,S,0.0
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,8,486,7.0,4.676934242248535,5.358105659484863,-0.6811714172363281,A,B,-1.0
